row,col,burn_time_min
0,0,-1.0000
0,1,-1.0000
0,2,-1.0000
0,3,-1.0000
0,4,-1.0000
0,5,-1.0000
0,6,-1.0000
0,7,-1.0000
0,8,-1.0000
0,9,-1.0000
0,10,-1.0000
0,11,-1.0000
0,12,-1.0000
0,13,-1.0000
0,14,-1.0000
0,15,-1.0000
0,16,-1.0000
0,17,-1.0000
0,18,-1.0000
0,19,-1.0000
0,20,-1.0000
0,21,-1.0000
0,22,-1.0000
0,23,-1.0000
0,24,-1.0000
0,25,-1.0000
0,26,-1.0000
0,27,-1.0000
0,28,-1.0000
0,29,-1.0000
0,30,-1.0000
0,31,-1.0000
0,32,-1.0000
0,33,-1.0000
0,34,-1.0000
0,35,-1.0000
0,36,-1.0000
0,37,-1.0000
0,38,-1.0000
0,39,-1.0000
0,40,-1.0000
0,41,-1.0000
0,42,-1.0000
0,43,-1.0000
0,44,-1.0000
0,45,-1.0000
0,46,-1.0000
0,47,-1.0000
0,48,-1.0000
0,49,-1.0000
0,50,-1.0000
0,51,-1.0000
0,52,-1.0000
0,53,-1.0000
0,54,-1.0000
0,55,-1.0000
0,56,-1.0000
0,57,-1.0000
0,58,-1.0000
0,59,-1.0000
1,0,-1.0000
1,1,-1.0000
1,2,-1.0000
1,3,-1.0000
1,4,-1.0000
1,5,-1.0000
1,6,-1.0000
1,7,-1.0000
1,8,-1.0000
1,9,-1.0000
1,10,-1.0000
1,11,-1.0000
1,12,-1.0000
1,13,-1.0000
1,14,-1.0000
1,15,-1.0000
1,16,-1.0000
1,17,-1.0000
1,18,-1.0000
1,19,-1.0000
1,20,-1.0000
1,21,-1.0000
1,22,-1.0000
1,23,-1.0000
1,24,-1.0000
1,25,-1.0000
1,26,-1.0000
1,27,-1.0000
1,28,-1.0000
1,29,-1.0000
1,30,-1.0000
1,31,-1.0000
1,32,-1.0000
1,33,-1.0000
1,34,-1.0000
1,35,-1.0000
1,36,-1.0000
1,37,-1.0000
1,38,-1.0000
1,39,-1.0000
1,40,-1.0000
1,41,-1.0000
1,42,-1.0000
1,43,-1.0000
1,44,-1.0000
1,45,-1.0000
1,46,-1.0000
1,47,-1.0000
1,48,-1.0000
1,49,-1.0000
1,50,-1.0000
1,51,-1.0000
1,52,-1.0000
1,53,-1.0000
1,54,-1.0000
1,55,-1.0000
1,56,-1.0000
1,57,-1.0000
1,58,-1.0000
1,59,-1.0000
2,0,-1.0000
2,1,-1.0000
2,2,-1.0000
2,3,-1.0000
2,4,-1.0000
2,5,-1.0000
2,6,-1.0000
2,7,-1.0000
2,8,-1.0000
2,9,-1.0000
2,10,-1.0000
2,11,-1.0000
2,12,-1.0000
2,13,-1.0000
2,14,-1.0000
2,15,-1.0000
2,16,-1.0000
2,17,-1.0000
2,18,-1.0000
2,19,-1.0000
