row,col,burn_time_min
0,0,-1.0000
0,1,-1.0000
0,2,-1.0000
0,3,-1.0000
0,4,-1.0000
0,5,-1.0000
0,6,-1.0000
0,7,-1.0000
0,8,-1.0000
0,9,-1.0000
0,10,-1.0000
0,11,-1.0000
0,12,-1.0000
0,13,-1.0000
0,14,-1.0000
0,15,-1.0000
0,16,-1.0000
0,17,-1.0000
0,18,-1.0000
0,19,-1.0000
0,20,-1.0000
0,21,-1.0000
0,22,-1.0000
0,23,-1.0000
0,24,-1.0000
0,25,-1.0000
0,26,-1.0000
0,27,-1.0000
0,28,-1.0000
0,29,-1.0000
0,30,-1.0000
0,31,-1.0000
0,32,-1.0000
0,33,-1.0000
0,34,-1.0000
0,35,-1.0000
0,36,-1.0000
0,37,-1.0000
0,38,-1.0000
0,39,-1.0000
1,0,-1.0000
1,1,-1.0000
1,2,-1.0000
1,3,-1.0000
1,4,-1.0000
1,5,-1.0000
1,6,-1.0000
1,7,-1.0000
1,8,-1.0000
1,9,-1.0000
1,10,-1.0000
1,11,-1.0000
1,12,-1.0000
1,13,-1.0000
1,14,-1.0000
1,15,-1.0000
1,16,-1.0000
1,17,-1.0000
1,18,-1.0000
1,19,-1.0000
1,20,-1.0000
1,21,-1.0000
1,22,-1.0000
1,23,-1.0000
1,24,-1.0000
1,25,-1.0000
1,26,-1.0000
1,27,-1.0000
1,28,-1.0000
1,29,-1.0000
1,30,-1.0000
1,31,-1.0000
1,32,-1.0000
1,33,-1.0000
1,34,-1.0000
1,35,-1.0000
1,36,-1.0000
1,37,-1.0000
1,38,-1.0000
1,39,-1.0000
2,0,-1.0000
2,1,-1.0000
2,2,-1.0000
2,3,-1.0000
2,4,-1.0000
2,5,-1.0000
2,6,-1.0000
2,7,-1.0000
2,8,-1.0000
2,9,-1.0000
2,10,-1.0000
2,11,-1.0000
2,12,-1.0000
2,13,-1.0000
2,14,-1.0000
2,15,-1.0000
2,16,-1.0000
2,17,-1.0000
2,18,-1.0000
2,19,-1.0000
2,20,-1.0000
2,21,-1.0000
2,22,-1.0000
2,23,-1.0000
2,24,-1.0000
2,25,-1.0000
2,26,-1.0000
2,27,-1.0000
2,28,-1.0000
2,29,-1.0000
2,30,-1.0000
2,31,-1.0000
2,32,-1.0000
2,33,-1.0000
2,34,-1.0000
2,35,-1.0000
2,36,-1.0000
2,37,-1.0000
2,38,-1.0000
2,39,-1.0000
3,0,-1.0000
3,1,-1.0000
3,2,-1.0000
3,3,-1.0000
3,4,-1.0000
3,5,-1.0000
3,6,-1.0000
3,7,-1.0000
3,8,-1.0000
3,9,-1.0000
3,10,-1.0000
3,11,-1.0000
3,12,-1.0000
3,13,-1.0000
3,14,-1.0000
3,15,-1.0000
3,16,-1.0000
3,17,-1.0000
3,18,-1.0000
3,19,-1.0000
